,datetime_from,price,price1,price2,price3,is_weekend,is_holiday,dayofweek_sin,dayofweek_cos,month_sin,month_cos,hour_sin,hour_cos
0,2024-07-01 00:00:00,86.07,92.98,102.76,84.455,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0
1,2024-07-01 01:00:00,90.0,90.37,101.96,84.156,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.25881904510252074,0.9659258262890683
2,2024-07-01 02:00:00,92.53,93.08,101.86,84.687,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
3,2024-07-01 03:00:00,104.0,96.77,106.27,91.973,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.7071067811865476,0.7071067811865476
4,2024-07-01 04:00:00,140.25,110.12,118.5,109.203,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001
5,2024-07-01 05:00:00,145.89,111.62,124.35,117.25,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.9659258262890682,0.25881904510252096
6,2024-07-01 06:00:00,140.62,104.25,112.85,110.213,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
7,2024-07-01 07:00:00,114.12,89.43,95.69,96.54,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.9659258262890683,-0.25881904510252063
8,2024-07-01 08:00:00,104.58,77.13,83.27,83.721,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
9,2024-07-01 09:00:00,91.34,72.03,75.67,67.332,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475
10,2024-07-01 10:00:00,85.0,71.0,76.81,61.165,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.5000000000000003,-0.8660254037844385
11,2024-07-01 11:00:00,88.49,72.13,85.07,67.016,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.258819045102521,-0.9659258262890682
12,2024-07-01 12:00:00,89.02,76.49,92.28,86.032,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
13,2024-07-01 13:00:00,111.91,86.14,102.6,98.698,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.25881904510252035,-0.9659258262890684
14,2024-07-01 14:00:00,135.67,97.68,120.06,105.3,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388
15,2024-07-01 15:00:00,195.31,123.72,113.77,126.558,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.7071067811865471,-0.7071067811865479
16,2024-07-01 16:00:00,222.16,205.5,157.7,148.833,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004
